model,family,preprocessor,n_folds,n_errors,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,fit_time_sec_mean,fit_time_sec_std,predict_time_sec_mean,predict_time_sec_std,run_id,scenario,scenario_description,seed
mlp,neural_network,standard,3,0,0.8096666666666668,0.00472581562625255,0.7503968253968254,0.014534214331823616,0.721020312055896,0.03426904125822751,0.6022222222222222,0.055008416864384735,0.654257256066526,0.018688844675845046,0.8737253968253968,0.007375230244814107,0.6135211333333549,0.14459415284274993,0.04321623333362368,0.0025497769651547666,20260429_110129,missing_values,Plus de valeurs manquantes.,1
sgd_classifier,linear,standard,3,0,0.6873333333333335,0.1500544345673707,0.7134920634920633,0.056956209724249425,0.5496237974156518,0.16695352317934867,0.7788888888888889,0.2157759468969126,0.6089938599661182,0.053224594261346646,0.8553380952380952,0.0069750722328203165,0.11876019999999698,0.0016024630261567794,0.040616866666823626,0.0018088764698282846,20260429_110129,missing_values,Plus de valeurs manquantes.,1
random_forest,ensemble_tree,standard,3,0,0.7906666666666666,0.0061101009266077925,0.6749206349206349,0.0063412648747423,0.8227200896007855,0.02872369032624441,0.3855555555555556,0.008388704928078609,0.5249846134897402,0.011844175712929386,0.8482444444444445,0.013127724710880306,0.6186265333335541,0.010891387493847274,0.11267516666642526,0.005626768571951834,20260429_110129,missing_values,Plus de valeurs manquantes.,1
dummy,baseline,standard,3,0,0.6999999999999998,1.3597399555105182e-16,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.09201663333321146,0.002938335924384946,0.042408533333400555,0.0020515895453912486,20260429_110129,missing_values,Plus de valeurs manquantes.,1
hist_gradient_boosting,boosting,dense,3,3,,,,,,,,,,,,,,,,,20260429_110129,missing_values,Plus de valeurs manquantes.,1
dummy,baseline,standard,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,0
hist_gradient_boosting,boosting,dense,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,0
linear_svc,svm,standard,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,0
logistic_regression,linear,standard,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,0
mlp,neural_network,standard,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,0
random_forest,ensemble_tree,standard,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,0
ridge_classifier,linear,standard,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,0
sgd_classifier,linear,standard,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,0
dummy,baseline,standard,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,1
hist_gradient_boosting,boosting,dense,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,1
linear_svc,svm,standard,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,1
logistic_regression,linear,standard,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,1
mlp,neural_network,standard,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,1
random_forest,ensemble_tree,standard,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,1
ridge_classifier,linear,standard,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,1
sgd_classifier,linear,standard,3,3,,,,,,,,,,,,,,,,,20260429_110129,text_removed,Colonne texte neutralisée pour mesurer son apport.,1
