model,family,preprocessor,fold,seed,status,error,warnings,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,fit_time_sec,predict_time_sec,run_id,scenario,scenario_description
hist_gradient_boosting,boosting,dense,3,0,error,This Pipeline instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.,,,,,,,,,,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
mlp,neural_network,standard,1,0,ok,,,0.761,0.674047619047619,0.6431924882629108,0.45666666666666667,0.5341130604288499,0.7881666666666667,0.42449949999991077,0.0471852000000581,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
mlp,neural_network,standard,2,0,ok,,,0.766,0.6728571428571428,0.6666666666666666,0.44,0.5301204819277109,0.7837190476190476,0.40060189999985596,0.047322800000074494,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
mlp,neural_network,standard,3,0,ok,,,0.761,0.6292857142857142,0.7563025210084033,0.3,0.4295942720763723,0.7927333333333333,0.3478684000001522,0.048901500000283704,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
dummy,baseline,standard,1,1,ok,,,0.7,0.5,0.0,0.0,0.0,0.5,0.10227859999940847,0.04666749999978492,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
dummy,baseline,standard,2,1,ok,,,0.7,0.5,0.0,0.0,0.0,0.5,0.1009102999996685,0.04552380000041012,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
dummy,baseline,standard,3,1,ok,,,0.7,0.5,0.0,0.0,0.0,0.5,0.10289060000013706,0.0465833999996903,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
logistic_regression,linear,standard,1,1,ok,,,0.726,0.7080952380952381,0.5349462365591398,0.6633333333333333,0.5922619047619048,0.776647619047619,0.21179630000006,0.06797769999957382,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
logistic_regression,linear,standard,2,1,ok,,,0.722,0.710952380952381,0.5283505154639175,0.6833333333333333,0.5959302325581395,0.776695238095238,0.24956199999996898,0.04969059999984893,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
logistic_regression,linear,standard,3,1,ok,,,0.73,0.7195238095238095,0.538860103626943,0.6933333333333334,0.6064139941690962,0.7818095238095238,0.2296979000002466,0.04982739999923069,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
ridge_classifier,linear,standard,1,1,ok,,,0.721,0.694047619047619,0.5295774647887324,0.6266666666666667,0.5740458015267176,0.7682190476190476,0.1261437000002843,0.04568799999924522,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
ridge_classifier,linear,standard,2,1,ok,,,0.723,0.7059523809523809,0.5306666666666666,0.6633333333333333,0.5896296296296296,0.7766666666666667,0.1246885000000475,0.04624789999979839,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
ridge_classifier,linear,standard,3,1,ok,,,0.726,0.7119047619047618,0.5342105263157895,0.6766666666666666,0.5970588235294118,0.7776571428571428,0.12455839999984164,0.045655799999622104,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
sgd_classifier,linear,standard,1,1,ok,,,0.699,0.7011904761904761,0.4988235294117647,0.7066666666666667,0.5848275862068966,0.7597190476190476,0.12568850000025122,0.045654300000023795,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
sgd_classifier,linear,standard,2,1,ok,,,0.752,0.6933333333333334,0.5942028985507246,0.5466666666666666,0.5694444444444444,0.7602333333333333,0.146213699999862,0.04596959999980754,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
sgd_classifier,linear,standard,3,1,ok,,,0.433,0.5692857142857143,0.33579335793357934,0.91,0.49056603773584906,0.7374333333333334,0.12596839999969234,0.045594100000016624,20260429_110129,high_noise,"Signal plus bruité, séparation plus difficile."
